key,en,nl,cn
hint_1_earlyhandoff,"This plane is handed off early, but separation is still your responsibility until {ALT}.","Dit vliegtuig is al heel snel overgezet, maar separatie is nog steeds jouw verantwoordelijkheid tot {ALT}.",这架飞机过早移交，但直到{ALT}前，间隔仍然是您的责任。
hint_1_enable_ils,"To make the plane follow the blue line, enable {button_ils}, and press {button_ok}.","Om het vliegtuig de blauwe lijn te laten volgen, activeer je {button_ils}, en daarna klik je op {button_ok}.",要使飞机跟随蓝线，请启用{button_ils}，然后按下{button_ok}。
hint_1_enable_sid_1,Enable {button_sid} mode to make this departing plane leave the airspace via its departure point.,Schakel {button_sid} mode in voordat het vliegtuig het luchtruim verlaat via het waypoint.,启用{button_sid}模式使这架离场飞机通过其离场点离开空域。
hint_1_enable_sid_2,Activate {button_sid} mode before this departing plane leaves the airspace.,Schakel {button_sid} mode in voordat het vliegtuig het luchtruim verlaat.,在这架离场飞机离开空域前激活{button_sid}模式。
hint_1_enroute,This plane is cruising above your airspace. No action required.,Dit vliegtuig vliegt over jouw luchtruim heen. Geen actie nodig.,这架飞机在您的空域上方巡航。无需操作。
hint_1_estab_1,"OK, this plane is fully established on the ILS and will be automatically handed over to the tower shortly.","Ok, dit vliegtuig zit helemaal op het ILS en zal straks automatisch naar de toren overschakelen.",好的，这架飞机已完全建立ILS，不久将自动移交给塔台。
hint_1_estab_2,"OK, this plane may already be handed off to the tower on frequency {FREQ}.","Ok, dit vliegtuig mag alvast naar de toren worden overgezet op frequencie {FREQ}.",好的，这架飞机可能已通过频率{FREQ}移交给塔台。
hint_1_estab_3,"OK, this plane may already be handed off to the tower by pressing the {button_handoff} button.","Ok, dit vliegtuig mag alvast naar de toren worden overgezet door op {button_handoff} te klikken.",好的，这架飞机可能已通过按下{button_handoff}按钮移交给塔台。
hint_1_estab_4,"OK, this plane has intercepted the localizer and waits to capture the glideslope.","Ok, dit vliegtuig heeft de localizer onderschept en het wacht totdat het ook de glideslope zal onderscheppen.",好的，这架飞机已截获定位器，等待捕获下滑道。
hint_1_fuel,"Oops, this plane is diverting due to low fuel.","Oeps, dit vliegtuig wijkt uit vanwege te weinig brandstof.",糟糕，这架飞机因燃油不足而改航。
hint_1_goaround,This plane could not land; it had to go-around. Turn it around and try again.,Dit vliegtuig kon niet landen; het moest een doorstart maken. Draai het vliegtuig om en probeer het opnieuw.,这架飞机无法降落；必须复飞。转向并重试。
hint_1_guide,"Guide this arrival to the ILS (blue line), then activate {button_ils} mode to capture it.","Begeleid dit inkomende vliegtuig naar het ILS (blauwe lijn), en activeer vervolgens {button_ils}-modus om de lijn te onderscheppen.",引导这架进场飞机至ILS（蓝线），然后激活{button_ils}模式以捕获它。
hint_1_handoff_1,Alright! This departing plane is handed off to {ATC}.,Prima! Deze uitgaande vlucht is overgezet naar {ATC}.,好的！这架离场飞机已移交给{ATC}。
hint_1_handoff_2,Alright! This departing plane is handed off.,Prima! Deze uitgaande vlucht is overgezet.,好的！这架离场飞机已移交。
hint_1_handoff_3,Alright! The plane may already be handed off to {ATC} on frequency {FREQ}.,Prima! Het vliegtuig mag alvast overgezet worden naar {ATC} op frequencie {FREQ}.,好的！这架飞机可能已通过频率{FREQ}移交给{ATC}。
hint_1_handoff_4,Alright! The plane may already be handed off to {ATC} by pressing {button_handoff}.,Prima! Het vliegtuig mag alvast overgezet worden naar {ATC} door op {button_handoff} te klikken.,好的！这架飞机可能已通过按下{button_handoff}移交给{ATC}。
hint_1_handoff_5,Alright! The plane may already be handed off to the next controller by pressing {button_handoff}.,Prima! Het vliegtuig mag alvast overgezet worden naar de volgende luchtverkeersleider door op {button_handoff} te klikken.,好的！这架飞机可能已通过按下{button_handoff}移交给下一个管制员。
hint_1_handoff_correct,Alright! This plane is handed off to the tower.,Prima! Dit vliegtuig is overgezet naar de toren.,好的！这架飞机已移交给塔台。
hint_1_handoff_correct_2,Alright! This plane is handed off to the tower and you scored skill points.,Prima! Dit vliegtuig is overgezet naar de toren en jij hebt skillpunten verdiend.,好的！这架飞机已移交给塔台，您获得了技术评分点数。
hint_1_headings,Guide this arrival to the {button_ils} (the blue line) by giving {menu_heading} instructions.,Begeleid dit vliegtuig naar het {button_ils} (de blauwe lijn) door middel van {menu_heading}-instructies.,通过给予{menu_heading}指令引导这架进场飞机至{button_ils}（蓝线）。
hint_1_howtoland,"To land on the runway, the plane has to capture the blue ILS line. Like in real life, intercept the ILS line at a shallow angle.","Om te landen moet het vliegtuig de blauwe ILS-lijn onderscheppen. Zoals in het echt, moet dat onder een kleine hoek gebeuren.",要在跑道上降落，飞机必须捕获蓝色ILS线。就像现实中一样，以小角度截获ILS线。
hint_1_ils_angle,Wait with the approach clearance until the plane is on a correct intercept heading.,Wacht met het geven van de ILS-klaring totdat het vliegtuig op een correcte heading vliegt om de lijn te onderscheppen.,等待进近许可，直到飞机处于正确的截获航向。
hint_1_ils_arrows,"To land, the plane needs to head towards the blue line like the yellow arrows.",Om het vliegtuig te laten landen moet het richting de blauwe lijn vliegen zoals de gele pijlen.,要降落，飞机需要像黄色箭头一样朝向蓝线飞行。
hint_1_ils_button,"Before the plane crosses the blue line, tap the {button_ils} button, so the plane will follow the line to the runway.","Voordat het vliegtuig de blauwe lijn kruist, klik je op de {button_ils}-knop, zodat het vliegtuig de lijn zal volgen naar de landingsbaan.",在飞机穿越蓝线前，点击{button_ils}按钮，使飞机跟随该线飞向跑道。
hint_1_ils_button_2,"Before the plane crosses the blue line, click on the {button_ils} button, so the plane will follow the line to the runway.","Voordat het vliegtuig de blauwe lijn kruist, klik je op de {button_ils}-knop, zodat het vliegtuig de lijn zal volgen naar de landingsbaan.",在飞机穿越蓝线前，点击{button_ils}按钮，使飞机跟随该线飞向跑道。
hint_1_ils_clearance,Press {button_ok} to give the approach clearance. Make sure to intercept the blue line at a shallow angle.,Klik op {button_ok} om de ILS-klaring te geven. Zorg ervoor dat de blauwe lijn onder een kleine hoek wordt onderschept.,按下{button_ok}给予进近许可。确保以小角度截获蓝线。
hint_1_ils_dots,The blue dots on the blue line indicate the maximum altitude to intercept the ILS glide path. Lower altitudes are fine.,De blauwe cirkels geven de maximale onderscheppingshoogte van de ILS glideslope aan. Lager mag ook.,蓝线上的蓝点表示截获ILS下滑道的最大高度。较低的高度也可以。
hint_1_ils_line,The ILS line is the approach path towards the runway.,De ILS-lijn is het naderingspad naar de landingsbaan.,ILS线是朝向跑道的进近路径。
hint_1_ils_mode,Enable {button_ils} mode when the plane is on a correct intercept heading (like the yellow arrows). Enabling {button_ils} basically means: cleared approach.,Activeer {button_ils}-modus wanneer het vliegtuig onder de juiste hoek naar de lijn vliegt (zoals de gele pijlen). Het activeren van {button_ils} betekent: toestemming om de baan te naderen.,当飞机处于正确的截获航向时（如黄色箭头），启用{button_ils}模式。启用{button_ils}基本上意味着：许可进近。
hint_1_ils_unable,"Plane is cleared for approach, but the intercept angle is too big, so it's unable to capture the blue line.","Het vliegtuig heeft toestemming om de baan te naderen, maar de onderscheppingshoek is te groot, dus kan de blauwe lijn niet gevolgd worden.",飞机已获准进近，但截获角度太大，无法捕获蓝线。
hint_1_ils_unable_2,"Plane is cleared for approach, but the blue ILS line is too far away, or the intercept angle is too big.","Het vliegtuig heeft toestemming om de baan te naderen, maar de blauwe ILS lijn is te ver weg, of de onderscheppingshoek is te groot.",飞机已获准进近，但蓝色ILS线太远，或截获角度太大。
hint_1_justtakenoff,"This departing plane has just taken off, and is currently controlled by the tower. Wait until it reaches {ALT}.","Dit vliegtuig is zojuist opgestegen, en staat in verbinding met de toren. Wacht tot het {ALT} bereikt.",这架离场飞机刚起飞，目前由塔台控制。等待直到它到达{ALT}。
hint_1_keyboard,"Press Enter to apply the instruction(s), or Backspace to cancel.","Druk op Enter om de instructie(s) toe te passen, of Backspace om te annuleren.",按Enter应用指令，或按Backspace取消。
hint_1_leaveholding_1,Press {button_ok} to leave the holding pattern.,Druk op {button_ok} om de holding te verlaten.,按下{button_ok}离开等待航线。
hint_1_leaveholding_2,The plane will leave the holding after flying over the fix.,Het vliegtuig zal de holding verlaten nadat het over de fix is gevlogen.,飞机飞越定位点后将离开等待。
hint_1_leaveholding_3,"Note that inbound planes will enter at {ALT} or higher, and may conflict with this holding plane.","Merk op dat binnenkomende vluchten het luchtruim binnenvliegen op {ALT} of hoger, en dat kan conflicteren met dit vliegtuig in de holding.",注意进场飞机将在{ALT}或更高高度进入，可能与这架等待飞机冲突。
hint_1_leaveholding_4,This plane is flying a holding pattern. Note that this can cause delays.,Dit vliegtuig vliegt in een holding. Merk op dat dit vertragingen kan veroorzaken.,这架飞机正在飞等待航线。注意这可能导致延误。
hint_1_leaveholding_5,This plane is flying a holding pattern. Click the {button_hold} button to deactivate hold mode.,Dit vliegtuig vliegt in een holding. Klik op {button_hold} om de holding modus te deactiveren.,这架飞机正在飞等待航线。点击{button_hold}按钮停用等待模式。
hint_1_leaveholding_6,The holding mode should be avoided to prevent delays.,"De holding modus moet zo veel mogelijk vermeden worden, om vertragingen te voorkomen.",应避免等待模式以防止延误。
hint_1_light,This light departure only needs to climb to {ALT}.,Dit kleine vliegtuigje hoeft maar tot {ALT} te klimmen.,这架轻型离场飞机只需爬升至{ALT}。
hint_1_light_climbed,Alright! The plane will leave the airspace at the boundary.,Prima! Dit vliegtuig zal het luchtruim netjes verlaten.,好的！飞机将在边界处离开空域。
hint_1_light_handoff_1,"When this light plane is near the boundary of your airspace, you may hand it off to {ATC} on frequency {FREQ}.","Wanneer dit kleine vliegtuigje de rand van het luchtruim nadert, kun je het naar {ATC} overzetten op frequencie {FREQ}.",当这架轻型飞机接近您的空域边界时，您可以通过频率{FREQ}将其移交给{ATC}。
hint_1_light_handoff_2,"When this light plane is near the boundary of your airspace, you may press {button_handoff} to hand it over.","Wanneer dit kleine vliegtuigje de rand van het luchtruim nadert, kun je het overzetten door op {button_handoff} te klikken.",当这架轻型飞机接近您的空域边界时，您可以按下{button_handoff}移交它。
hint_1_llz,Plane is cleared for the localizer only. Press the {button_llz} button again to give the approach clearance.,Het vliegtuig heeft toestemming om alleen de localizer te volgen. Druk op {button_llz} om de approachklaring te geven.,飞机仅获准跟随定位器。再次按下{button_llz}按钮给予进近许可。
hint_1_llz_only,Plane is cleared for the localizer only. Press the {button_llz} button again to give the approach clearance.,Het vliegtuig heeft toestemming om alleen de localizer te volgen. Druk op {button_llz} om de approachklaring te geven.,飞机仅获准跟随定位器。再次按下{button_llz}按钮给予进近许可。
hint_1_loc_try,"OK, this plane is trying to intercept the ILS localizer.","Ok, dit vliegtuig probeert de ILS-lijn de volgen.",好的，这架飞机正尝试截获ILS定位器。
hint_1_lowdep,"This aircraft will stay at {ALT}, so keep it separated from other planes until it crosses the boundary.","Dit vliegtuig zal op {ALT} blijven vliegen, dus geef het voldoende ruimte totdat het het luchtruim verlaat.",这架飞机将保持在{ALT}，因此在它穿越边界前保持与其他飞机的间隔。
hint_1_nav,"OK, this plane is flying a route, it steers automatically but is not cleared to descend yet.","Ok, dit vliegtuig volgt een route: het stuurt automatisch maar heeft nog geen toestemming om te dalen.",好的，这架飞机正在飞航路，它会自动转向但尚未获准下降。
hint_1_ok_command,"Press {button_ok} or click scroll wheel to apply the instruction(s), or press {button_cancel} to cancel.","Druk op {button_ok} of klik op het scrollwiel om de instructie(s) toe te passen, of druk op {button_cancel} om te annuleren.",按下{button_ok}或点击滚轮应用指令，或按下{button_cancel}取消。
hint_1_ok_command_2,"Press the {button_ok} button to apply the instruction(s), or press {button_cancel} to cancel.","Druk op {button_ok} om de instructie(s) toe te passen, of druk op {button_cancel} om te annuleren.",按下{button_ok}按钮应用指令，或按下{button_cancel}取消。
hint_1_ok_sid,Press {button_ok} to give the {button_sid} clearance.,Druk op {button_ok} om de {button_sid} klaring te geven.,按下{button_ok}给予{button_sid}许可。
hint_1_onrunway,This departing plane is still on the runway. Wait until it reaches {ALT}.,Dit vliegtuig rijdt nog op de startbaan. Wacht tot het {ALT} bereikt.,这架离场飞机仍在跑道上。等待直到它到达{ALT}。
hint_1_press_ok,Press the {button_ok} button to apply the instruction.,Klik op {button_ok} om de instructie aan het vliegtuig te geven.,按下{button_ok}按钮应用指令。
hint_1_route,"OK, the plane follows the route to the ILS.","Ok, dit vliegtuig volgt de route naar het ILS.",好的，飞机跟随航路至ILS。
hint_1_rwy_change,Plane is cleared for approach but the runway change has not been completed yet.,Het vliegtuig heeft toestemming om de baan te naderen maar de baanwisseling is nog niet voltooid.,飞机已获准进近但跑道变更尚未完成。
hint_1_speed,Changing the speed is not required. Departures increase their speed automatically.,De snelheid aanpassen is niet nodig. Departures verhogen hun snelheid vanzelf.,无需更改速度。离场飞机会自动增加速度。
hint_1_steep,"Plane is heading for the localizer, but at a steep angle: the angle to the runway heading should ideally be 30 degrees or less.","Het vliegtuig nadert de localizer, maar het vliegt onder een te grote hoek: de hoek met een landingsbaan zou eigenlijk 30 graden of minder moeten zijn.",飞机正飞向定位器，但角度太大：与跑道航向的角度理想情况下应为30度或更小。
hint_1_too_high_1,"This plane is handed off to the tower, but it may go-around soon, because it is too high.","Dit vliegtuig is overgezet naar de toren, maar het kan straks een doorstart maken, want het vliegt te hoog.",这架飞机已移交给塔台，但可能很快复飞，因为它太高了。
hint_1_too_high_2,"Plane is too high! Cancel the {button_ils} clearance, and give it a new line-up so the plane has more time to reach its instructed altitude.","Het vliegtuig is te hoog! Annuleer de {button_ils} klaring, en geef het een nieuwe line-up zodanig dat het vliegtuig meer tijd heeft om de geselecteerde hoogte te bereiken.",飞机太高了！取消{button_ils}许可，并给予新的航线，使飞机有更多时间达到指定高度。
hint_1_too_high_3,"Plane is too high! Cancel the {button_ils} clearance, and give it a new line-up with more distance to the runway.","Het vliegtuig is te hoog! Annuleer de {button_ils} klaring, en geef het een nieuwe line-up met meer afstand tot de landingsbaan.",飞机太高了！取消{button_ils}许可，并给予新的航线，增加与跑道的距离。
hint_1_too_high_4,"Plane is heading for the localizer, but it is currently too high for the glideslope.","Het vliegtuig nadert de localizer, maar het is op dit moment te hoog voor de glideslope.",飞机正飞向定位器，但目前对于下滑道来说太高了。
hint_1_too_high_5,"Plane is heading for the localizer, but at this distance it is too high for the glideslope.","Het vliegtuig nadert de localizer, maar op deze afstand van de baan is het te hoog voor de glideslope.",飞机正飞向定位器，但在这个距离上对于下滑道来说太高了。
hint_1_turn_final,"Turn the plane towards the blue line, like the yellow arrows, then press {button_ok}.","Stuur het vliegtuig richting de blauwe lijn, zoals de gele pijlen, en klik dan op {button_ok}.",将飞机转向蓝线，如黄色箭头所示，然后按下{button_ok}。
hint_1_wait,This arriving plane is not yet in your control. Wait until it enters your airspace.,Dit inkomende vliegtuig is nog niet onder jouw controle. Wacht totdat het jouw luchtruim binnenvliegt.,这架进场飞机尚未在您的控制下。等待直到它进入您的空域。
hint_1_waiting_loc,"OK, this plane is waiting to intercept the ILS localizer.","Ok, het vliegtuig wacht op het onderscheppen van de localizer.",好的，这架飞机正在等待截获ILS定位器。
hint_1_wake_1,Note that heavy planes cause wake turbulence behind them: see the orange arcs indicating the required distance to the next plane.,Merk op dat zware toestellen turbulentie veroorzaken achter het toestel: zie de oranje boog die de minimale afstand aangeeft die het volgende vliegtuig moet aanhouden.,注意重型飞机会在后方引起尾流湍流：参见橙色弧线指示与下一架飞机所需的距离。
hint_1_wake_2,Note that superheavy planes cause wake turbulence behind them: see the orange arcs indicating the required distance to the next plane.,Merk op dat superzware toestellen turbulentie veroorzaken achter het toestel: zie de oranje boog die de minimale afstand aangeeft die het volgende vliegtuig moet aanhouden.,注意超重型飞机会在后方引起尾流湍流：参见橙色弧线指示与下一架飞机所需的距离。
hint_1_yellow_arrows,The yellow arrows are examples of correct ILS intercept headings.,De gele pijlen zijn voorbeelden van correcte hoeken om de ILS-lijn te onderscheppen.,黄色箭头是正确ILS截获航向的示例。
hint_1_yellow_arrows_2,The yellow arrows indicate correct 30 degree ILS intercept headings.,De gele pijlen geven correcte hoeken van 30 graden aan waarop de vliegtuigen richting de landingsbaan moeten vliegen.,黄色箭头指示正确的30度ILS截获航向。
hint_1_yellow_arrows_3,"Intercept the blue ILS approach path, like the yellow arrows, by giving {menu_heading} instructions to the plane.","Onderschep de blauwe ILS-lijn die op de landingsbaan uitkomt, zoals de gele pijlen, door middel van {menu_heading}-instructies.",通过给予{menu_heading}指令，像黄色箭头一样截获蓝色ILS进近路径。
hint_2_altitude_1,Tip: you can also change the altitude by scrolling the mouse wheel.,Tip: je kan de hoogte ook instellen door te scrollen met het muiswiel.,提示：您也可以通过滚动鼠标滚轮来更改高度。
hint_2_app_select,Approach beacon selected: click the {button_app} button to make the plane follow a route.,Approachbaken geselecteerd: druk op {button_app} om het vliegtuig een route te laten volgen.,已选择进近信标：点击{button_app}按钮使飞机跟随航路。
hint_2_cancel_1,Canceled unapplied instructions. Tip: press {KEY} to change mouse control settings.,De instructie is geannuleerd. Tip: druk op {KEY} om de muisbediening te veranderen.,已取消未应用的指令。提示：按{KEY}更改鼠标控制设置。
hint_2_cancel_2,Canceled unapplied instructions.,De instructie is geannuleerd.,已取消未应用的指令。
hint_2_climb_1,Enable {button_sid} mode to allow further climb.,Activeer {button_sid}-modus om de hoogte te kunnen verhogen.,启用{button_sid}模式以允许进一步爬升。
hint_2_climb_2,This small airplane cannot climb higher.,Dit kleine vliegtuigje kan niet hoger klimmen.,这架小型飞机无法爬升更高。
hint_2_closed_1,Airspace is closed.,Het luchtruim is gesloten.,空域已关闭。
hint_2_closed_2,"Airspace is closed. To open, go to the {button_traffic} menu, or start a new game in the {button_airport} menu.","Het luchtruim is gesloten. Om het te openen, ga je naar het menu {button_traffic}, of start je een nieuw spel in het menu {button_airport}.",空域已关闭。要开放，请转到{button_traffic}菜单，或在{button_airport}菜单中开始新游戏。
hint_2_closed_3,"Airspace is closed. To open, go to the {button_traffic}, or start a new game in the {button_airport} menu ({KEY}).","Het luchtruim is gesloten. Om het te openen, ga je naar het menu {button_traffic}, of start je een nieuw spel in het menu {button_airport} ({KEY}).",空域已关闭。要开放，请转到{button_traffic}菜单，或在{button_airport}菜单中开始新游戏（{KEY}）。
hint_2_closed_4,"Airspace is closed. To open, go to the {button_traffic} menu, or start a new game.","Het luchtruim is gesloten. Om het te openen, ga je naar het menu {button_traffic}, of start je een nieuw spel.",空域已关闭。要开放，请转到{button_traffic}菜单，或开始新游戏。
hint_2_custom_1,Tip: select {button_custom} mode in the {button_traffic} menu to adjust the amount of traffic.,Tip: selecteer {button_custom}-modus in het menu {button_traffic} om de verkeersdrukte aan te passen.,提示：在{button_traffic}菜单中选择{button_custom}模式以调整交通量。
hint_2_delay_1,"A plane failed to land within 30 minutes after it entered the airspace, therefore it is classified as delayed.","Een vliegtuig is er niet in geslaagd om binnen 30 minuten te landen, en daarom is het geclassificeerd als vertraagd.",一架飞机在进入空域后30分钟内未能降落，因此被分类为延误。
hint_2_deselect,Plane deselected.,Vliegtuig gedeselecteerd.,飞机已取消选择。
hint_2_destination_1,A plane went around due to an incorrect destination; only planes with {TAG} tag may land at that airport.,Een vliegtuig maakte een doorstart omdat het de verkeerde bestemming naderde: alleen vliegtuigen met {TAG}-label mogen op die bestemming landen.,一架飞机因目的地错误而复飞；只有带有{TAG}标签的飞机可以在该机场降落。
hint_2_destination_2,A plane went around due to an incorrect destination; planes with {TAG} tag may not land at the main airport.,Een vliegtuig maakte een doorstart omdat het de verkeerde bestemming naderde: vliegtuigen met {TAG}-label mogen alleen op de hoofdluchthaven landen.,一架飞机因目的地错误而复飞；带有{TAG}标签的飞机不能在主机场降落。
hint_2_direct_1,Direct mode off; fly on a heading.,Direct-modus uit: het vliegtuig zal de huidige koers aanhouden.,直飞模式关闭；按航向飞行。
hint_2_direct_2,Direct to the point {FIX}.,Direct naar het punt {FIX} vliegen.,直飞至点{FIX}。
hint_2_divert_1,"Oops, a departing plane has left the airspace at a too low altitude. The skill value is reduced by 0.5 points (diversion).","Oeps, een vertrekkend vliegtuig heeft het luchtruim verlaten op een te lage hoogte. De skill is verlaagd met 0.5 punten.",糟糕，一架离场飞机以过低高度离开了空域。技能评分减少0.5分（改航）。
hint_2_divert_2,"Oops, an arriving plane has left the airspace. The skill value is reduced by 0.5 points (diversion).","Oeps, een inkomend vliegtuig heeft het luchtruim verlaten. De skill is verlaagd met 0.5 punten.",糟糕，一架进场飞机离开了空域。技能评分减少0.5分（改航）。
hint_2_expedite_1,Expedite climb/descent mode: increase vertical speed.,Extra snel klimmen/dalen.,加速爬升/下降模式：增加垂直速度。
hint_2_expedite_2,Normal rate of climb/descent.,Normaal klimmen/dalen.,正常爬升/下降速率。
hint_2_failed_to_load,Failed to load,Laden mislukt,加载失败
hint_2_goaround_1,A plane is going around because it was flying too high to make a landing via the glideslope.,Een vliegtuig heeft een doorstart gemaakt omdat het te hoog boven de glideslope vloog en daarom niet kon landen.,一架飞机正在复飞，因为它飞得太高，无法通过下滑道降落。
hint_2_goaround_2,A plane is going around because the runway is still occupied by another landing plane.,Een vliegtuig heeft een doorstart gemaakt omdat de landingsbaan nog bezet was door een ander vliegtuig.,一架飞机正在复飞，因为跑道仍被另一架降落飞机占用。
hint_2_goaround_3,"A plane is going around. To avoid this, let planes capture the ILS line farther away from the runway.",Een vliegtuig heeft een doorstart gemaakt. Om dit te voorkomen kun je vliegtuigen op een grotere afstand van de landingsbaan de ILS-lijn laten onderscheppen.,一架飞机正在复飞。为避免这种情况，让飞机在离跑道更远处捕获ILS线。
hint_2_handoff_1,Well done! A plane on final approach switched to tower control.,Goed gedaan! Een vliegtuig dat de baan naderde is overgeschakeld naar de toren.,做得好！一架在最后进近的飞机已切换至塔台控制。
hint_2_handoff_2,"Well done! A plane on final approach switched to tower control, and you scored skill points.","Goed gedaan! Een vliegtuig dat de baan naderde is overgeschakeld naar de toren, en jij scoort skillpunten.",做得好！一架在最后进近的飞机已切换至塔台控制，您获得了技能点数。
hint_2_handoff_3,"Alright! Another plane switched to the tower, so your skill level has increased.","Prima! Opnieuw is een vliegtuig naar de toren overgeschakeld, dus je skill is weer omhoog gegaan.",好的！又一架飞机切换至塔台，因此您的技能水平提高了。
hint_2_handoff_4,"Alright! Your skill level increased again, so the amount of traffic will rise as well.","Prima! Je skill is weer gestegen, dus de hoeveelheid verkeer zal ook toenemen.",好的！您的技能水平再次提高，因此交通量也会增加。
hint_2_handoff_5,"That handoff was a bit early; this may be risky if there are other planes nearby, because you cannot give it instructions anymore.","Die overschakeling was een beetje vroeg; dat kan risicovol zijn als er andere vliegtuigen in de buurt zijn, want je kan het nu geen instructies meer geven.",那次移交有点早；如果附近有其他飞机可能会有风险，因为您无法再给予它指令。
hint_2_heading_1,Heading selected; {button_sid} mode is now deactivated and altitude setting is lowered.,Heading geselecteerd: {button_sid}-modus is nu gedeactiveerd en de hoogte is verlaagd.,已选择航向；{button_sid}模式现已停用，高度设置已降低。
hint_2_heading_2,Heading selected; {button_sid} mode is now deactivated.,Heading geselecteerd: {button_sid}-modus is nu gedeactiveerd.,已选择航向；{button_sid}模式现已停用。
hint_2_heading_3,Plane heads automatically towards the runway. Deactivate {button_ils} mode to allow heading adjustments.,Het vliegtuig stuurt automatisch richting de landingsbaan. Deactiveer {button_ils}-modus om de Heading te kunnen veranderen.,飞机自动朝向跑道飞行。停用{button_ils}模式以允许航向调整。
hint_2_heading_4,"Plane will leave the holding after flying over the fix, unless {button_hold} mode is deactivated first.","Het vliegtuig zal de holding verlaten nadat het over de fix is gevlogen, tenzij de {button_hold}-modus eerst wordt gedeactiveerd.",飞机飞越定位点后将离开等待，除非先停用{button_hold}模式。
hint_2_hold_1,Holding mode: hold at current position.,Holding-modus: het vliegtuig zal rondjes vliegen op de huidige positie.,等待模式：在当前位置等待。
hint_2_hold_2,Hold mode off; fly on a heading.,Holding-modus uit: het vliegtuig zal op een vaste koers door blijven vliegen.,等待模式关闭；按航向飞行。
hint_2_ils_1,"To make planes follow the blue line to the runway, you need to enable {button_ils} mode.",Om te zorgen dat vliegtuigen de blauwe lijn naar de landingsbaan volgen moet je de {button_ils}-modus activeren.,要使飞机跟随蓝线至跑道，您需要启用{button_ils}模式。
hint_2_ils_2,ILS* mode: cross one localizer and intercept the next one.,ILS*-modus: het vliegtuig zal de eerste localizer kruisen en de tweede onderscheppen.,ILS*模式：穿越一个定位器并截获下一个。
hint_2_ils_3,Instrument Landing System: cleared approach (plane will follow the blue line).,Instrument Landing System: toestemming om de landingsbaan te naderen (het vliegtuig zal de blauwe lijn volgen).,仪表着陆系统：许可进近（飞机将跟随蓝线）。
hint_2_ils_4,ILS mode off: the plane will maintain its current heading.,ILS-modus uit: het vliegtuig zal de huidige koers aanhouden.,ILS模式关闭：飞机将保持当前航向。
hint_2_ils_5,Tip: you can also enable {button_ils} mode by clicking the left and right mouse buttons at the same time.,Tip: je kan de {button_ils}-modus ook activeren door de linker- en rechtermuisknop tegelijkertijd in te drukken.,提示：您也可以通过同时点击鼠标左右键来启用{button_ils}模式。
hint_2_indexing,Indexing custom airport files,Indexeren van custom airport-bestanden,索引自定义机场文件
hint_2_llz_1,Cleared for the localizer only; plane needs full ILS clearance later.,Alleen toestemming om de localizer te volgen; het vliegtuig moet later nog de volledige ILS-klaring krijgen.,仅获准跟随定位器；飞机稍后需要完整的ILS许可。
hint_2_llz_2,"Lateral NAV mode: cleared for the lateral approach route, but not cleared for the vertical descent profile.","Laterale NAV-modus: toestemming voor het volgen van de route, maar nog niet om te dalen.",横向NAV模式：获准跟随横向进近航路，但未获准垂直下降剖面。
hint_2_llz_3,Enable ILS mode first.,Zet eerst de ILS-modus aan.,首先启用ILS模式。
hint_2_lock_alt,"Tip: to maintain the altitude (instead of descending automatically), press and hold the digits between the altitude plus/minus buttons.","Tip: om te voorkomen dat een vliegtuig automatisch daalt, kun je de cijfers tussen de Altitude-knoppen lang indrukken.",提示：要维持高度（而不是自动下降），请按住高度加减按钮之间的数字。
hint_2_not_ready,Plane is not ready for approach yet.,Het vliegtuig is nog niet klaar voor de landing.,飞机尚未准备好进近。
hint_2_ok_1,Tip: you can also {button_ok} by clicking the mouse wheel (the middle mouse button). Press {KEY} to see/change the game controls.,Tip: je kan ook {button_ok} toepassen door middel van een klik op het muiswiel (middelste muisknop). Druk op {KEY} om de spelbesturing te zien/veranderen.,提示：您也可以通过点击鼠标滚轮（中键）来{button_ok}。按{KEY}查看/更改游戏控制。
hint_2_rewind_1,Scenario rewinded by {AMOUNT} minutes.,Het scenario is {AMOUNT} minuten teruggespoeld.,场景倒退了{AMOUNT}分钟。
hint_2_rewind_2,"Scenario rewinded by {AMOUNT} minutes. To start from the beginning, press the {button_scenario} button.",Het scenario is {AMOUNT} minuten teruggespoeld. Om vanaf het begin te starten klik je op {button_scenario}.,场景倒退了{AMOUNT}分钟。要从头开始，请按{button_scenario}按钮。
hint_2_route_1,APP mode: navigate fully automatically via the displayed route to the ILS.,APP-modus: het vliegtuig zal automatisch navigeren naar het ILS via de weergeven route.,APP模式：通过显示的航路完全自动导航至ILS。
hint_2_route_2,"APP mode: navigate fully automatically via the displayed route, then give vectors to the ILS.","APP-modus: het vliegtuig zal automatisch navigeren via de weergeven route, waarna je vectors kunt geven naar het ILS.",APP模式：通过显示的航路完全自动导航，然后给予至ILS的引导。
hint_2_rwy_change_1,"Runway change in progress, 1 minute to go.","Baanverandering in uitvoering, 1 minuut te gaan.",跑道变更进行中，还剩1分钟。
hint_2_rwy_change_2,"Runway change in progress, {AMOUNT} minutes to go.","Baanverandering in uitvoering, {AMOUNT} minuten te gaan.",跑道变更进行中，还剩{AMOUNT}分钟。
